"('date',_'')","('close',_'005930.ks')","('high',_'005930.ks')","('low',_'005930.ks')","('open',_'005930.ks')","('volume',_'005930.ks')"
2000-01-04,4349.55859375,4349.55859375,4029.214671133388,4271.252301554829,74195000
2000-01-05,3972.265380859375,4313.965628675235,3929.5528498823924,4128.877994441645,74680000
2000-01-06,4000.739990234375,4114.640061130727,3972.264972510287,4093.2837978376615,54390000
2000-01-07,3943.790283203125,4036.3340985129457,3815.652692774143,3958.0277932507897,40305000
2000-01-10,4107.52001953125,4107.52001953125,3972.2637277269278,3986.501232127383,46880000
2000-01-11,4107.52001953125,4342.438842138757,4107.52001953125,4143.113780532387,59745000
2000-01-12,4071.92724609375,4086.164753947225,3986.5021989729025,3993.6209528996396,29220000
2000-01-13,4064.80810546875,4086.1643652172725,3958.0268067261386,3986.5018197241684,41190000
2000-01-14,4150.234375,4185.828151801029,4043.4530445969126,4071.928066037736,49375000
2000-01-17,4342.43994140625,4399.3899734246925,4214.302369364754,4271.252401383196,63505000
2000-01-18,4342.43994140625,4385.152465420082,4257.014893378586,4385.152465420082,45260000
2000-01-19,4242.77685546875,4299.726880374371,4242.77685546875,4271.25186792156,40205000
2000-01-20,4299.72802734375,4299.72802734375,4143.115417076262,4171.590437124896,37315000
2000-01-21,4185.82568359375,4257.013195219494,4185.82568359375,4235.6569417317705,32535000
2000-01-24,4057.688720703125,4200.063763534814,4057.688720703125,4128.8762421189695,34355000
2000-01-25,3872.603515625,4014.9786448759187,3872.6035156249995,3929.5535673253676,44250000
2000-01-26,3901.076416015625,3929.551426351505,3851.245147927834,3915.313921183565,29285000
2000-01-27,3929.552001953125,4000.7395382203918,3865.483219312585,3901.0769874462185,27900000
2000-01-28,4143.1142578125,4185.826775934279,3943.7891732442013,4014.976703447165,38315000
2000-01-31,3972.265380859375,4079.0467083018316,3958.027870533714,4014.9779118363576,39630000
2000-02-01,3787.1767578125,4043.451876762218,3744.464237987547,3986.5018503289475,71470000
2000-02-02,3737.34619140625,3822.771247209822,3637.6836263020837,3715.9899274553572,64105000
2000-02-03,3651.919189453125,3886.8379677220396,3538.0191757469847,3737.3441997327304,142765000
2000-02-04,3651.919189453125,3651.919189453125,3651.919189453125,3651.919189453125,0
